DEBUG 2017-07-18 02:49:44  QM.Server服务开启
ERROR 2017-07-18 02:49:48  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:49:48  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
INFO  2017-07-18 02:49:48  QM Server 开启服务
ERROR 2017-07-18 02:50:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:50:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:51:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:51:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
DEBUG 2017-07-18 02:54:04  QM.Server服务开启
INFO  2017-07-18 02:54:07  QM Server 开启服务
DEBUG 2017-07-18 02:54:47  QM.Server服务开启
INFO  2017-07-18 02:54:49  QM Server 开启服务
ERROR 2017-07-18 02:55:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:55:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:56:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:56:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:57:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:57:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:58:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:58:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:59:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 02:59:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:00:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:00:02  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:01:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:01:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:02:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:02:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:03:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:03:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:04:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:04:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:05:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:05:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:06:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:06:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:07:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:07:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:08:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:08:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:09:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:09:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:10:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:10:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:11:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:11:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:12:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:12:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:13:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:13:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:14:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:14:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:15:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:15:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:16:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:16:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:17:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:17:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:18:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:18:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:19:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:19:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:20:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:20:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:21:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:21:00  当前任务信息为空,taskid：9141 - QM.Core.Exception.QMException: 应用程序中的错误。
ERROR 2017-07-18 03:22:00  当前任务信息为空,taskid：9161 - QM.Core.Exception.QMException: 应用程序中的错误。
